globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
1078 | Revision_589/Jmol/source-tests/org/openscience/jmol/AtomTypeSetTest.java | 60 | 67 | 1 | 602 | setUp | public void setUp() | 60 | 67 | org.openscience.jmol | AtomTypeSetTest
1079 | Revision_589/Jmol/source-tests/org/openscience/jmol/AtomTypesModelTest.java | 60 | 67 | 1 | 602 | setUp | public void setUp() | 60 | 67 | org.openscience.jmol | AtomTypesModelTest
284 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 312 | 318 | 2 | NULL | NULL | NULL | NULL | NULL |  | 
285 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 1001 | 1008 | 2 | 238 | flushBuffer | void flushBuffer(BufferedOutputStream outStream) | 989 | 1022 | com.obrador | Huffman
286 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 972 | 980 | 2 | 177 | bufferIt | void bufferIt(BufferedOutputStream outStream, int code,int size) | 953 | 987 | com.obrador | Huffman
840 | Revision_589/Jmol/src/org/openscience/jmol/LoopedStreams.java | 105 | 113 | 2 | 558 | startByteArrayReaderThread | private void startByteArrayReaderThread() | 79 | 117 | org.openscience.jmol | LoopedStreams
841 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 1289 | 1295 | 2 | 373 | getYCCArray | private void getYCCArray() | 1254 | 1336 | com.obrador | JpegInfo
282 | Revision_589/Jmol/src/org/openscience/jmol/JmolResourceHandler.java | 104 | 109 | 2 | 356 | getString | public synchronized String getString(String key) | 97 | 111 | org.openscience.jmol | JmolResourceHandler
287 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 476 | 481 | 3 | 380 | initMatrix | private void initMatrix(int quality) | 385 | 591 | com.obrador | DCT
288 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 564 | 569 | 3 | 380 | initMatrix | private void initMatrix(int quality) | 385 | 591 | com.obrador | DCT
289 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 483 | 493 | 4 | 380 | initMatrix | private void initMatrix(int quality) | 385 | 591 | com.obrador | DCT
292 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 742 | 749 | 4 | NULL | NULL | NULL | NULL | NULL |  | 
291 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 764 | 769 | 4 | NULL | NULL | NULL | NULL | NULL |  | 
290 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 571 | 581 | 4 | 380 | initMatrix | private void initMatrix(int quality) | 385 | 591 | com.obrador | DCT
293 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 737 | 752 | 5 | NULL | NULL | NULL | NULL | NULL |  | 
294 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 759 | 772 | 5 | NULL | NULL | NULL | NULL | NULL |  | 
295 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 954 | 987 | 6 | 177 | bufferIt | void bufferIt(BufferedOutputStream outStream, int code,int size) | 953 | 987 | com.obrador | Huffman
296 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 989 | 1022 | 6 | 238 | flushBuffer | void flushBuffer(BufferedOutputStream outStream) | 989 | 1022 | com.obrador | Huffman
297 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 1049 | 1054 | 7 | 379 | initHuf | public void initHuf() | 1030 | 1188 | com.obrador | Huffman
298 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 1156 | 1161 | 7 | 379 | initHuf | public void initHuf() | 1030 | 1188 | com.obrador | Huffman
299 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 1085 | 1090 | 7 | 379 | initHuf | public void initHuf() | 1030 | 1188 | com.obrador | Huffman
300 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 1120 | 1125 | 7 | 379 | initHuf | public void initHuf() | 1030 | 1188 | com.obrador | Huffman
301 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 1062 | 1070 | 8 | 379 | initHuf | public void initHuf() | 1030 | 1188 | com.obrador | Huffman
302 | Revision_589/Jmol/src/com/obrador/JpegEncoder.java | 1169 | 1177 | 8 | 379 | initHuf | public void initHuf() | 1030 | 1188 | com.obrador | Huffman
