globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_329/asp.c | 73 | 88 | 1 | 158 | findAspTags | 41 | 178
2 | Revision_329/asp.c | 96 | 111 | 1 | 158 | findAspTags | 41 | 178
13 | Revision_329/eiffel.c | 367 | 376 | 2 | 457 | skipToCharacter | 366 | 376
14 | Revision_329/sql.c | 241 | 248 | 2 | 602 | skipToCharacter | 240 | 248
15 | Revision_329/eiffel.c | 660 | 664 | 3 | 415 | readToken | 614 | 745
16 | Revision_329/sql.c | 327 | 331 | 3 | 600 | readToken | 292 | 375
3 | Revision_329/eiffel.c | 720 | 727 | 4 | 415 | readToken | 614 | 745
4 | Revision_329/fortran.c | 994 | 1001 | 4 | 416 | readToken | 895 | 1018
17 | Revision_329/python.c | 105 | 109 | 5 | 612 | skipSpace | 104 | 109
19 | Revision_329/erlang.c | 58 | 62 | 5 | 566 | skipSpace | 57 | 62
18 | Revision_329/sml.c | 82 | 86 | 5 | 619 | skipSpace | 81 | 86
20 | Revision_329/python.c | 113 | 122 | 6 | NULL | NULL | NULL | NULL
21 | Revision_329/erlang.c | 66 | 75 | 6 | NULL | NULL | NULL | NULL
11 | Revision_329/routines.c | 275 | 282 | 7 | 570 | struppercmp | 274 | 282
8 | Revision_329/readtags.c | 109 | 116 | 7 | 528 | struppercmp | 108 | 116
12 | Revision_329/routines.c | 285 | 292 | 8 | 528 | strnuppercmp | 284 | 292
10 | Revision_329/readtags.c | 119 | 126 | 8 | 528 | strnuppercmp | 118 | 126
