globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_382/asp.c | 73 | 88 | 1 | 158 | findAspTags | 41 | 178
2 | Revision_382/asp.c | 96 | 111 | 1 | 158 | findAspTags | 41 | 178
13 | Revision_382/eiffel.c | 367 | 376 | 2 | 457 | skipToCharacter | 366 | 376
14 | Revision_382/sql.c | 249 | 256 | 2 | 602 | skipToCharacter | 248 | 256
15 | Revision_382/eiffel.c | 660 | 664 | 3 | 415 | readToken | 614 | 745
16 | Revision_382/sql.c | 337 | 341 | 3 | 600 | readToken | 300 | 405
17 | Revision_382/python.c | 105 | 109 | 4 | 612 | skipSpace | 104 | 109
19 | Revision_382/erlang.c | 58 | 62 | 4 | 566 | skipSpace | 57 | 62
18 | Revision_382/sml.c | 82 | 86 | 4 | 619 | skipSpace | 81 | 86
20 | Revision_382/python.c | 113 | 122 | 5 | NULL | NULL | NULL | NULL
21 | Revision_382/erlang.c | 66 | 75 | 5 | NULL | NULL | NULL | NULL
11 | Revision_382/routines.c | 287 | 294 | 6 | 570 | struppercmp | 286 | 294
8 | Revision_382/readtags.c | 106 | 113 | 6 | 528 | struppercmp | 105 | 113
12 | Revision_382/routines.c | 297 | 304 | 7 | 528 | strnuppercmp | 296 | 304
10 | Revision_382/readtags.c | 116 | 123 | 7 | 528 | strnuppercmp | 115 | 123
