globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_344/asp.c | 73 | 88 | 1 | 158 | findAspTags | 41 | 178
2 | Revision_344/asp.c | 96 | 111 | 1 | 158 | findAspTags | 41 | 178
13 | Revision_344/eiffel.c | 367 | 376 | 2 | 457 | skipToCharacter | 366 | 376
14 | Revision_344/sql.c | 245 | 252 | 2 | 602 | skipToCharacter | 244 | 252
15 | Revision_344/eiffel.c | 660 | 664 | 3 | 415 | readToken | 614 | 745
16 | Revision_344/sql.c | 331 | 335 | 3 | 600 | readToken | 296 | 399
17 | Revision_344/python.c | 105 | 109 | 4 | 612 | skipSpace | 104 | 109
18 | Revision_344/sml.c | 82 | 86 | 4 | 619 | skipSpace | 81 | 86
19 | Revision_344/erlang.c | 58 | 62 | 4 | 566 | skipSpace | 57 | 62
20 | Revision_344/python.c | 113 | 122 | 5 | NULL | NULL | NULL | NULL
21 | Revision_344/erlang.c | 66 | 75 | 5 | NULL | NULL | NULL | NULL
11 | Revision_344/routines.c | 275 | 282 | 6 | 570 | struppercmp | 274 | 282
8 | Revision_344/readtags.c | 106 | 113 | 6 | 528 | struppercmp | 105 | 113
12 | Revision_344/routines.c | 285 | 292 | 7 | 528 | strnuppercmp | 284 | 292
10 | Revision_344/readtags.c | 116 | 123 | 7 | 528 | strnuppercmp | 115 | 123
