globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_457/asp.c | 74 | 89 | 1 | 158 | findAspTags | 42 | 198
2 | Revision_457/asp.c | 97 | 112 | 1 | 158 | findAspTags | 42 | 198
13 | Revision_457/eiffel.c | 367 | 376 | 2 | 457 | skipToCharacter | 366 | 376
14 | Revision_457/sql.c | 249 | 256 | 2 | 602 | skipToCharacter | 248 | 256
15 | Revision_457/eiffel.c | 660 | 664 | 3 | 415 | readToken | 614 | 745
16 | Revision_457/sql.c | 335 | 339 | 3 | 600 | readToken | 300 | 405
17 | Revision_457/python.c | 107 | 111 | 4 | 612 | skipSpace | 106 | 111
18 | Revision_457/sml.c | 84 | 88 | 4 | 619 | skipSpace | 83 | 88
19 | Revision_457/erlang.c | 58 | 62 | 4 | 566 | skipSpace | 57 | 62
20 | Revision_457/python.c | 116 | 125 | 5 | NULL | NULL | NULL | NULL
21 | Revision_457/erlang.c | 66 | 75 | 5 | NULL | NULL | NULL | NULL
11 | Revision_457/routines.c | 287 | 294 | 6 | 570 | struppercmp | 286 | 294
8 | Revision_457/readtags.c | 106 | 113 | 6 | 528 | struppercmp | 105 | 113
12 | Revision_457/routines.c | 297 | 304 | 7 | 528 | strnuppercmp | 296 | 304
10 | Revision_457/readtags.c | 116 | 123 | 7 | 528 | strnuppercmp | 115 | 123
