globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_374/asp.c | 73 | 88 | 1 | 158 | findAspTags | 41 | 178
2 | Revision_374/asp.c | 96 | 111 | 1 | 158 | findAspTags | 41 | 178
13 | Revision_374/eiffel.c | 367 | 376 | 2 | 457 | skipToCharacter | 366 | 376
14 | Revision_374/sql.c | 245 | 252 | 2 | 602 | skipToCharacter | 244 | 252
15 | Revision_374/eiffel.c | 660 | 664 | 3 | 415 | readToken | 614 | 745
16 | Revision_374/sql.c | 331 | 335 | 3 | 600 | readToken | 296 | 399
17 | Revision_374/python.c | 105 | 109 | 4 | 612 | skipSpace | 104 | 109
19 | Revision_374/erlang.c | 58 | 62 | 4 | 566 | skipSpace | 57 | 62
18 | Revision_374/sml.c | 82 | 86 | 4 | 619 | skipSpace | 81 | 86
20 | Revision_374/python.c | 113 | 122 | 5 | NULL | NULL | NULL | NULL
21 | Revision_374/erlang.c | 66 | 75 | 5 | NULL | NULL | NULL | NULL
11 | Revision_374/routines.c | 285 | 292 | 6 | 570 | struppercmp | 284 | 292
8 | Revision_374/readtags.c | 106 | 113 | 6 | 528 | struppercmp | 105 | 113
12 | Revision_374/routines.c | 295 | 302 | 7 | 528 | strnuppercmp | 294 | 302
10 | Revision_374/readtags.c | 116 | 123 | 7 | 528 | strnuppercmp | 115 | 123
