globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_157/asp.c | 72 | 87 | 1 | 158 | findAspTags | 40 | 158
2 | Revision_157/asp.c | 95 | 110 | 1 | 158 | findAspTags | 40 | 158
3 | Revision_157/eiffel.c | 720 | 727 | 2 | 415 | readToken | 614 | 745
4 | Revision_157/fortran.c | 878 | 885 | 2 | 416 | readToken | 790 | 902
5 | Revision_157/python.c | 97 | 101 | 3 | 175 | findPythonTags | 40 | 105
6 | Revision_157/ruby.c | 155 | 159 | 3 | 177 | findRubyTags | 44 | 163
11 | Revision_157/routines.c | 263 | 270 | 4 | 528 | strcasecmp | 262 | 270
8 | Revision_157/readtags.c | 496 | 503 | 4 | 528 | strcasecmp | 495 | 503
12 | Revision_157/routines.c | 275 | 282 | 5 | 550 | strncasecmp | 274 | 282
10 | Revision_157/readtags.c | 508 | 515 | 5 | 528 | strncasecmp | 507 | 515
