globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
1 | Revision_265/args.c | 85 | 92 | 1 | 301 | nextString | static char* nextString (const Arguments* const current, const char** const next) | 84 | 92 |  | args
2 | Revision_265/args.c | 159 | 166 | 1 | 300 | nextFileString | static char* nextFileString (const Arguments* const current, FILE* const fp) | 158 | 166 |  | args
8 | Revision_265/asp.c | 70 | 89 | 2 | 156 | findAspTags | static void findAspTags (void) | 41 | 178 |  | asp
9 | Revision_265/asp.c | 93 | 112 | 2 | 156 | findAspTags | static void findAspTags (void) | 41 | 178 |  | asp
10 | Revision_265/asp.c | 116 | 132 | 3 | 156 | findAspTags | static void findAspTags (void) | 41 | 178 |  | asp
87 | Revision_265/asp.c | 155 | 170 | 3 | 156 | findAspTags | static void findAspTags (void) | 41 | 178 |  | asp
14 | Revision_265/ruby.c | 96 | 111 | 3 | 175 | findRubyTags | static void findRubyTags (void) | 44 | 164 |  | ruby
14 | Revision_265/ruby.c | 79 | 94 | 3 | 175 | findRubyTags | static void findRubyTags (void) | 44 | 164 |  | ruby
12 | Revision_265/asp.c | 136 | 151 | 3 | 156 | findAspTags | static void findAspTags (void) | 41 | 178 |  | asp
15 | Revision_265/asp.c | 181 | 189 | 4 | 2 | AspParser | extern parserDefinition* AspParser (void) | 180 | 189 |  | asp
88 | Revision_265/sml.c | 192 | 200 | 4 | 569 | SmlParser | extern parserDefinition *SmlParser (void) | 191 | 200 |  | sml
16 | Revision_265/python.c | 212 | 220 | 4 | 19 | PythonParser | extern parserDefinition *PythonParser (void) | 211 | 220 |  | python
7 | Revision_265/awk.c | 71 | 79 | 5 | 3 | AwkParser | extern parserDefinition* AwkParser () | 70 | 79 |  | awk
6 | Revision_265/perl.c | 109 | 117 | 5 | 17 | PerlParser | extern parserDefinition* PerlParser (void) | 108 | 117 |  | perl
5 | Revision_265/php.c | 95 | 103 | 5 | 18 | PhpParser | extern parserDefinition* PhpParser (void) | 94 | 103 |  | php
18 | Revision_265/beta.c | 154 | 158 | 6 | 158 | findBetaTags | static void findBetaTags (void) | 84 | 310 |  | beta
19 | Revision_265/beta.c | 280 | 284 | 6 | 158 | findBetaTags | static void findBetaTags (void) | 84 | 310 |  | beta
20 | Revision_265/beta.c | 160 | 164 | 6 | 158 | findBetaTags | static void findBetaTags (void) | 84 | 310 |  | beta
21 | Revision_265/beta.c | 167 | 171 | 7 | 158 | findBetaTags | static void findBetaTags (void) | 84 | 310 |  | beta
22 | Revision_265/beta.c | 274 | 278 | 7 | 158 | findBetaTags | static void findBetaTags (void) | 84 | 310 |  | beta
23 | Revision_265/beta.c | 313 | 321 | 8 | 4 | BetaParser | extern parserDefinition* BetaParser (void) | 312 | 321 |  | beta
