globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
1 | Revision_467/args.c | 85 | 92 | 1 | 301 | nextString | static char* nextString (const Arguments* const current, const char** const next) | 84 | 92 |  | args
2 | Revision_467/args.c | 159 | 166 | 1 | 300 | nextFileString | static char* nextFileString (const Arguments* const current, FILE* const fp) | 158 | 166 |  | args
3 | Revision_467/args.c | 181 | 189 | 2 | 55 | argNewFromArgv | extern Arguments* argNewFromArgv (char* const* const argv) | 180 | 189 |  | args
4 | Revision_467/args.c | 192 | 199 | 2 | 56 | argNewFromFile | extern Arguments* argNewFromFile (FILE* const fp) | 191 | 199 |  | args
5 | Revision_467/args.c | 202 | 210 | 2 | 57 | argNewFromLineFile | extern Arguments* argNewFromLineFile (FILE* const fp) | 201 | 210 |  | args
6 | Revision_467/args.c | 265 | 271 | 3 | 52 | argDelete | extern void argDelete (Arguments* const current) | 264 | 271 |  | args
7 | Revision_467/options.c | 577 | 582 | 3 | 68 | cArgDelete | extern void cArgDelete (cookedArgs* const current) | 576 | 582 |  | options
188 | Revision_467/asm.c | 120 | 128 | 4 | 552 | buildAsmKeywordHash | static void buildAsmKeywordHash (void) | 119 | 128 |  | asm
280 | Revision_467/jscript.c | 267 | 276 | 4 | 629 | buildJsKeywordHash | static void buildJsKeywordHash (void) | 266 | 276 |  | jscript
196 | Revision_467/sql.c | 378 | 387 | 4 | 555 | buildSqlKeywordHash | static void buildSqlKeywordHash (void) | 377 | 387 |  | sql
258 | Revision_467/verilog.c | 107 | 117 | 4 | 226 | initialize | static void initialize (const langType language) | 106 | 117 |  | verilog
191 | Revision_467/asm.c | 244 | 257 | 5 | NULL | NULL | NULL | NULL | NULL |  | 
179 | Revision_467/asm.c | 262 | 272 | 5 | NULL | NULL | NULL | NULL | NULL |  | 
256 | Revision_467/asm.c | 348 | 353 | 6 | 536 | findAsmTags | static void findAsmTags (void) | 274 | 358 |  | asm
257 | Revision_467/sh.c | 89 | 94 | 6 | 178 | findShTags | static void findShTags (void) | 53 | 100 |  | sh
174 | Revision_467/asm.c | 367 | 386 | 7 | 1 | AsmParser | extern parserDefinition* AsmParser (void) | 366 | 386 |  | asm
184 | Revision_467/verilog.c | 324 | 333 | 7 | 547 | VerilogParser | extern parserDefinition* VerilogParser (void) | 323 | 333 |  | verilog
22 | Revision_467/tcl.c | 106 | 114 | 7 | 25 | TclParser | extern parserDefinition* TclParser (void) | 105 | 114 |  | tcl
197 | Revision_467/sql.c | 1863 | 1872 | 7 | 554 | SqlParser | extern parserDefinition* SqlParser (void) | 1862 | 1872 |  | sql
19 | Revision_467/perl.c | 203 | 211 | 7 | 17 | PerlParser | extern parserDefinition* PerlParser (void) | 202 | 211 |  | perl
230 | Revision_467/erlang.c | 179 | 187 | 7 | 575 | ErlangParser | extern parserDefinition *ErlangParser (void) | 178 | 187 |  | erlang
16 | Revision_467/ruby.c | 389 | 397 | 7 | 21 | RubyParser | extern parserDefinition* RubyParser (void) | 388 | 397 |  | ruby
17 | Revision_467/scheme.c | 99 | 109 | 7 | 22 | SchemeParser | extern parserDefinition* SchemeParser (void) | 98 | 109 |  | scheme
24 | Revision_467/sh.c | 103 | 113 | 7 | 23 | ShParser | extern parserDefinition* ShParser (void) | 102 | 113 |  | sh
18 | Revision_467/asp.c | 201 | 209 | 7 | 2 | AspParser | extern parserDefinition* AspParser (void) | 200 | 209 |  | asp
26 | Revision_467/make.c | 199 | 209 | 7 | 15 | MakefileParser | extern parserDefinition* MakefileParser (void) | 198 | 209 |  | make
216 | Revision_467/sml.c | 201 | 209 | 7 | 569 | SmlParser | extern parserDefinition *SmlParser (void) | 200 | 209 |  | sml
20 | Revision_467/vim.c | 168 | 176 | 7 | 26 | VimParser | extern parserDefinition* VimParser (void) | 167 | 176 |  | vim
281 | Revision_467/jscript.c | 1190 | 1205 | 7 | 584 | JavaScriptParser | extern parserDefinition* JavaScriptParser (void) | 1189 | 1205 |  | jscript
275 | Revision_467/basic.c | 202 | 210 | 7 | 620 | FreeBasicParser | parserDefinition *FreeBasicParser (void) | 201 | 210 |  | basic
