Revision,gcid1,gcid2,classid,co_change_count,gcid1_independent_change_count,gcid2_independent_change_count,same_file,same_author,same_method,similarity,clone_type,nlines1,nlines2,depth,class_size,is_spcp,weighted_coupling_strength,last_co_change_age,last_solo_change_age,coupling_trend,wcs_recent,solo_events_after_last_cochange,noc1,noc2,file_age1,file_age2,churn1,churn2,distinct_authors1,distinct_authors2,major_author_prop1,major_author_prop2,minor_author_count1,minor_author_count2,wies,will_independently_evolve
461,36,37,14,0,0,1,0,1,1,100,Type1,5,5,1,6,0,0.0000,-1,0,0.0000,0.0000,1,0,1,6,6,0,1691,0,1,0.0000,1.0000,0,0,1.0000,1
461,37,40,14,0,1,0,0,1,0,100,Type1,5,9,1,6,0,0.0000,-1,0,0.0000,0.0000,1,1,1,6,8,1691,25,1,1,1.0000,1.0000,0,0,1.0000,1
461,37,41,14,0,1,0,0,1,0,100,Type1,5,9,1,6,0,0.0000,-1,0,0.0000,0.0000,1,1,1,6,8,1691,25,1,1,1.0000,1.0000,0,0,1.0000,1
468,17,31,11,0,1,1,1,1,0,100,Type1,18,12,0,8,0,0.0000,-1,0,0.0000,0.0000,2,3,1,182,355,1557,1691,1,1,1.0000,1.0000,0,0,1.0000,1
468,17,44,11,1,0,0,0,1,1,100,Type1,18,18,1,8,1,1.0000,0,-1,0.0000,1.0000,0,3,4,182,175,1557,1084,1,1,1.0000,1.0000,0,0,0.0000,0
468,18,19,5,1,0,1,0,1,1,100,Type1,8,8,1,7,1,0.5523,0,7,1.0000,0.5523,0,1,2,8,8,25,1716,1,1,1.0000,1.0000,0,0,0.4477,0
468,18,20,5,1,0,0,1,1,0,100,Type1,8,5,0,7,0,1.0000,0,-1,1.0000,1.0000,0,1,6,8,355,25,1549,1,1,1.0000,1.0000,0,0,0.0000,0
468,18,21,5,1,0,1,0,1,0,100,Type1,8,5,1,7,0,0.5523,0,7,1.0000,0.5523,0,1,6,8,355,25,3603,1,1,1.0000,1.0000,0,0,0.4477,0
468,19,20,5,1,1,0,0,1,0,100,Type1,8,5,1,7,0,0.5523,0,7,1.0000,0.5523,0,2,6,8,355,1716,1549,1,1,1.0000,1.0000,0,0,0.4477,0
468,19,21,5,2,0,0,1,1,0,100,Type1,8,5,0,7,0,1.0000,0,-1,0.0000,1.0000,0,2,6,8,355,1716,3603,1,1,1.0000,1.0000,0,0,0.0000,0
468,20,21,5,1,0,1,0,1,1,100,Type1,5,5,1,7,1,0.5523,0,7,1.0000,0.5523,0,6,6,355,355,1549,3603,1,1,1.0000,1.0000,0,0,0.4477,0
468,22,23,29,1,0,1,0,1,0,100,Type1,12,12,1,7,1,0.5523,0,7,1.0000,0.5523,0,3,6,329,329,1004,3533,1,1,1.0000,1.0000,0,0,0.4477,0
468,24,25,7,1,0,1,0,1,1,100,Type1,5,8,1,9,1,0.5523,0,7,1.0000,0.5523,0,12,5,355,197,1911,3512,1,1,1.0000,1.0000,0,0,0.4477,0
468,24,27,7,1,0,1,0,1,0,100,Type1,5,14,1,9,0,0.5523,0,7,1.0000,0.5523,0,12,3,355,15,1911,3219,1,1,1.0000,1.0000,0,0,0.4477,0
468,25,27,7,2,0,0,1,1,0,100,Type1,8,14,0,9,0,1.0000,0,-1,0.0000,1.0000,0,5,3,197,15,3512,3219,1,1,1.0000,1.0000,0,0,0.0000,0
468,31,44,11,0,0,1,0,1,0,100,Type1,12,18,1,8,0,0.0000,-1,0,0.0000,0.0000,2,1,4,355,175,1691,1084,1,1,1.0000,1.0000,0,0,1.0000,1
468,34,35,21,1,0,1,0,1,1,100,Type1,7,7,1,3,1,0.5523,0,7,1.0000,0.5523,0,24,11,355,355,3037,3734,2,2,0.8333,0.8182,0,0,0.4477,0
468,38,39,22,1,0,0,0,1,0,100,Type1,6,6,1,6,0,1.0000,0,-1,1.0000,1.0000,0,11,6,355,355,1954,1858,1,1,1.0000,1.0000,0,0,0.0000,0
468,40,41,14,1,0,0,1,1,0,100,Type1,9,9,0,6,1,1.0000,0,-1,1.0000,1.0000,0,1,1,8,8,25,25,1,1,1.0000,1.0000,0,0,0.0000,0
468,42,43,10,1,0,0,0,1,1,100,Type1,26,26,1,6,1,1.0000,0,-1,0.0000,1.0000,0,4,4,191,191,1084,1775,1,1,1.0000,1.0000,0,0,0.0000,0
470,20,21,5,1,1,1,0,1,1,100,Type1,5,5,1,7,1,0.3481,2,0,0.4850,0.3481,1,6,6,355,355,1549,3603,1,1,1.0000,1.0000,0,0,0.6519,1
470,24,25,7,1,1,1,0,1,1,100,Type1,5,8,1,9,1,0.3481,2,0,0.4850,0.3481,1,12,5,355,197,1911,3512,1,1,1.0000,1.0000,0,0,0.6519,1
470,24,27,7,1,1,1,0,1,0,100,Type1,5,14,1,9,0,0.3481,2,0,0.4850,0.3481,1,12,3,355,15,1911,3219,1,1,1.0000,1.0000,0,0,0.6519,1
470,34,35,21,1,1,1,0,1,1,100,Type1,7,7,1,3,1,0.3481,2,0,0.4850,0.3481,1,24,11,355,355,3037,3734,2,2,0.8333,0.8182,0,0,0.6519,1
470,38,39,22,1,1,0,0,1,0,100,Type1,6,6,1,6,0,0.4850,2,0,0.4850,0.4850,1,11,6,355,355,1954,1858,1,1,1.0000,1.0000,0,0,0.5150,1
475,17,31,11,0,2,1,1,1,0,100,Type1,18,12,0,8,0,0.0000,-1,0,0.0000,0.0000,3,3,1,182,355,1557,1691,1,1,1.0000,1.0000,0,0,1.0000,1
475,17,44,11,2,0,0,0,1,1,100,Type1,18,18,1,8,1,1.0000,0,-1,0.0000,1.0000,0,3,4,182,175,1557,1084,1,1,1.0000,1.0000,0,0,0.0000,0
475,20,21,5,2,1,1,0,1,1,100,Type1,5,5,1,7,1,0.5440,0,5,-0.0149,0.6778,0,6,6,355,355,1549,3603,1,1,1.0000,1.0000,0,0,0.4560,0
475,22,23,29,2,0,1,0,1,0,100,Type1,12,12,1,7,1,0.7337,0,14,0.4477,1.0000,0,3,6,329,329,1004,3533,1,1,1.0000,1.0000,0,0,0.2663,0
475,24,25,7,2,1,1,0,1,1,100,Type1,5,8,1,9,1,0.5440,0,5,-0.0149,0.6778,0,12,5,355,197,1911,3512,1,1,1.0000,1.0000,0,0,0.4560,0
475,24,27,7,2,1,1,0,1,0,100,Type1,5,14,1,9,0,0.5440,0,5,-0.0149,0.6778,0,12,3,355,15,1911,3219,1,1,1.0000,1.0000,0,0,0.4560,0
